task,fraction,stat,paper_value,delta,status
MRPC,0.25,selection_size,92.0,0.0,MATCH
MRPC,0.25,changed,1.0,0.0,MATCH
MRPC,0.25,total,60.0,0.0,MATCH
MRPC,0.25,mean_delta_pp,0.545,4.087193460799998e-05,MATCH
MRPC,0.5,selection_size,184.0,0.0,MATCH
MRPC,0.5,changed,1.0,0.0,MATCH
MRPC,0.5,total,60.0,0.0,MATCH
MRPC,0.5,mean_delta_pp,-0.545,4.087193459689775e-05,MATCH
MRPC,0.75,selection_size,275.0,0.0,MATCH
MRPC,0.75,changed,0.0,0.0,MATCH
MRPC,0.75,total,60.0,0.0,MATCH
MRPC,0.75,mean_delta_pp,,,MATCH
MRPC,1.0,selection_size,367.0,0.0,MATCH
MRPC,1.0,changed,0.0,0.0,MATCH
MRPC,1.0,total,12.0,0.0,MATCH
MRPC,1.0,mean_delta_pp,,,MATCH
CoLA,0.25,selection_size,214.0,0.0,MATCH
CoLA,0.25,changed,13.0,0.0,MATCH
CoLA,0.25,total,60.0,0.0,MATCH
CoLA,0.25,mean_delta_pp,0.027,4.0977713875012256e-05,MATCH
CoLA,0.5,selection_size,428.0,0.0,MATCH
CoLA,0.5,changed,8.0,0.0,MATCH
CoLA,0.5,total,60.0,0.0,MATCH
CoLA,0.5,mean_delta_pp,0.029,0.0002056074766344,MATCH
CoLA,0.75,selection_size,642.0,0.0,MATCH
CoLA,0.75,changed,11.0,0.0,MATCH
CoLA,0.75,total,60.0,0.0,MATCH
CoLA,0.75,mean_delta_pp,0.074,0.0003415463041655,MATCH
CoLA,1.0,selection_size,856.0,0.0,MATCH
CoLA,1.0,changed,3.0,0.0,MATCH
CoLA,1.0,total,12.0,0.0,MATCH
CoLA,1.0,mean_delta_pp,0.039,5.919003115033295e-05,MATCH
